Price,Year,Kilometer,Engine,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Fuel Type,Transmission,Owner,Seller Type,Drivetrain,PriceRange
9540.0,2021.0,9000.0,1199.0,3993.0,1677.0,1532.0,5.0,35.0,Petrol,Automatic,First,Individual,FWD,1
10500.0,2014.0,99000.0,2199.0,4690.0,1880.0,1690.0,7.0,64.0,Diesel,Automatic,First,Corporate,AWD,1
17400.0,2014.0,45000.0,2143.0,4596.0,1770.0,1447.0,5.0,66.0,Diesel,Automatic,First,Individual,RWD,3
11400.0,2018.0,63000.0,1396.0,4270.0,1780.0,1630.0,5.0,60.0,Diesel,Manual,First,Individual,FWD,1
26100.0,2017.0,29000.0,2393.0,4735.0,1830.0,1795.0,7.0,55.0,Diesel,Manual,First,Individual,RWD,2
31200.0,2014.0,94000.0,2997.0,4804.0,2141.0,1796.0,5.0,70.0,Diesel,Automatic,First,Individual,AWD,3
6600.0,2016.0,88000.0,1248.0,3995.0,1745.0,1500.0,5.0,37.0,Diesel,Manual,First,Individual,FWD,1
18000.0,2019.0,75000.0,2179.0,4585.0,1890.0,1785.0,7.0,70.0,Diesel,Manual,First,Individual,FWD,1
6420.0,2015.0,28000.0,999.0,3999.0,1765.0,1708.0,5.0,52.0,Petrol,Manual,First,Individual,FWD,1
5988.0,2014.0,140000.0,1498.0,4440.0,1695.0,1495.0,5.0,40.0,Diesel,Manual,First,Individual,FWD,1
6180.0,2019.0,40310.0,1196.0,3675.0,1475.0,1800.0,7.0,40.0,Petrol,Manual,Second,Individual,RWD,1
7080.0,2020.0,74000.0,1197.0,3805.0,1680.0,1520.0,5.0,37.0,Petrol,Manual,First,Individual,FWD,1
12000.0,2018.0,38000.0,2179.0,4788.0,1903.0,1791.0,7.0,60.0,Diesel,Manual,First,Individual,RWD,1
5940.0,2017.0,47000.0,1197.0,3765.0,1660.0,1520.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,1
4560.0,2012.0,53000.0,1591.0,4370.0,1700.0,1475.0,5.0,43.0,Petrol,Manual,First,Corporate,FWD,1
6780.0,2017.0,65000.0,1493.0,3995.0,1835.0,1839.0,7.0,60.0,Diesel,Manual,Second,Individual,RWD,1
11520.0,2016.0,37079.0,1591.0,4270.0,1780.0,1630.0,5.0,60.0,Petrol,Automatic,First,Individual,FWD,1
3588.0,2013.0,47000.0,1197.0,3850.0,1695.0,1530.0,5.0,42.0,Petrol,Manual,First,Individual,FWD,1
6900.0,2019.0,31000.0,998.0,3655.0,1620.0,1675.0,5.0,60.0,Otro,Manual,First,Individual,FWD,1
19332.0,2019.0,46301.0,1956.0,4655.0,1835.0,1760.0,5.0,60.0,Diesel,Manual,First,Individual,FWD,2
8100.0,2017.0,35616.0,1197.0,3995.0,1745.0,1500.0,5.0,37.0,Petrol,Automatic,First,Individual,FWD,1
25200.0,2018.0,75592.0,2999.0,4825.0,1860.0,1840.0,7.0,65.0,Diesel,Automatic,First,Individual,RWD,2
8340.0,2018.0,66000.0,1248.0,3995.0,1735.0,1515.0,5.0,37.0,Diesel,Automatic,First,Individual,FWD,1
11400.0,2019.0,22000.0,1497.0,4440.0,1695.0,1495.0,5.0,40.0,Petrol,Manual,First,Individual,FWD,1
4919.988,2014.0,68000.0,1396.0,3940.0,1710.0,1505.0,5.0,45.0,Diesel,Manual,First,Individual,FWD,1
6252.0,2017.0,40879.0,1197.0,3700.0,1690.0,1595.0,5.0,32.0,Petrol,Automatic,First,Individual,FWD,1
3000.0,2014.0,25000.0,814.0,3495.0,1550.0,1500.0,5.0,32.0,Petrol,Manual,First,Individual,FWD,1
3120.0,2009.0,77000.0,1298.0,4160.0,1690.0,1530.0,5.0,43.0,Petrol,Manual,Second,Individual,FWD,1
4800.0,2019.0,22000.0,998.0,3545.0,1490.0,1475.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
7500.0,2015.0,65000.0,2498.0,3920.0,1726.0,1930.0,6.0,60.0,Diesel,Manual,Second,Individual,AWD,1
4800.0,2011.0,80000.0,1991.0,4597.0,1788.0,1477.0,5.0,60.0,Diesel,Manual,Third,Individual,FWD,0
8988.0,2017.0,114000.0,1598.0,4300.0,1765.0,1590.0,5.0,48.0,Diesel,Manual,First,Individual,FWD,1
4919.988,2019.0,32000.0,1086.0,3610.0,1645.0,1560.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
33600.0,2017.0,29000.0,1995.0,4454.0,2044.0,1545.0,5.0,63.0,Diesel,Automatic,Second,Individual,RWD,3
22200.0,2020.0,7000.0,1353.0,4315.0,1800.0,1645.0,5.0,50.0,Petrol,Automatic,First,Individual,FWD,2
5123.988,2020.0,41669.0,999.0,3679.0,1579.0,1478.0,5.0,28.0,Petrol,Automatic,First,Individual,FWD,1
21900.0,2016.0,82567.0,2393.0,4735.0,1830.0,1795.0,7.0,55.0,Diesel,Manual,First,Individual,RWD,2
23400.0,2022.0,4500.0,2184.0,3985.0,1820.0,1844.0,4.0,57.0,Diesel,Automatic,First,Individual,AWD,1
7440.0,2016.0,64906.0,1248.0,4296.0,1695.0,1685.0,7.0,45.0,Diesel,Manual,First,Individual,FWD,1
8700.0,2019.0,11874.0,1197.0,3840.0,1735.0,1530.0,5.0,37.0,Petrol,Automatic,First,Individual,FWD,1
11388.0,2018.0,37100.0,1497.0,4440.0,1695.0,1495.0,5.0,40.0,Petrol,Manual,First,Individual,FWD,1
15900.0,2021.0,20000.0,998.0,3995.0,1790.0,1647.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,2
2940.0,2015.0,72000.0,796.0,3395.0,1490.0,1475.0,5.0,35.0,Otro,Manual,Second,Individual,FWD,1
18000.0,2016.0,70000.0,1798.0,4861.0,1864.0,1483.0,5.0,66.0,Petrol,Automatic,Second,Individual,FWD,2
15900.0,2021.0,9900.0,1591.0,4370.0,1700.0,1475.0,5.0,43.0,Petrol,Automatic,First,Individual,FWD,1
8100.0,2017.0,125372.0,1248.0,4300.0,1765.0,1590.0,5.0,48.0,Diesel,Manual,First,Individual,FWD,1
3000.0,2012.0,48568.0,1086.0,3585.0,1595.0,1550.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
14652.0,2019.0,46000.0,2179.0,4456.0,1820.0,1995.0,7.0,60.0,Diesel,Manual,First,Individual,RWD,1
11880.0,2019.0,54572.0,1248.0,3995.0,1790.0,1640.0,5.0,48.0,Diesel,Manual,First,Individual,FWD,1
8652.0,2018.0,46000.0,1373.0,4490.0,1730.0,1485.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,1
9000.0,2011.0,117000.0,2982.0,4695.0,1840.0,1850.0,7.0,80.0,Diesel,Manual,Second,Individual,AWD,2
4380.0,2015.0,20100.0,998.0,3545.0,1490.0,1475.0,5.0,35.0,Petrol,Automatic,First,Individual,FWD,1
15240.0,2019.0,61805.0,2179.0,4456.0,1820.0,1995.0,7.0,60.0,Diesel,Manual,First,Individual,RWD,1
5880.0,2017.0,82000.0,1197.0,3995.0,1745.0,1500.0,5.0,37.0,Petrol,Manual,First,Individual,FWD,1
16500.0,2019.0,69000.0,2179.0,4456.0,1820.0,1995.0,7.0,60.0,Diesel,Manual,First,Individual,AWD,1
9540.0,2017.0,9000.0,1373.0,4296.0,1695.0,1685.0,7.0,45.0,Petrol,Manual,First,Individual,FWD,1
36600.0,2020.0,40910.0,1968.0,4456.0,1796.0,1416.0,5.0,50.0,Diesel,Automatic,First,Individual,FWD,3
7740.0,2021.0,1374.0,1196.0,3675.0,1475.0,1800.0,5.0,40.0,Otro,Manual,First,Individual,RWD,1
6540.0,2014.0,74000.0,1582.0,4370.0,1700.0,1475.0,5.0,43.0,Diesel,Manual,First,Individual,FWD,1
6840.0,2015.0,60798.0,1373.0,4490.0,1730.0,1485.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,1
10439.988,2017.0,70000.0,1582.0,4270.0,1780.0,1630.0,5.0,60.0,Diesel,Manual,First,Individual,FWD,1
28800.0,2016.0,60000.0,1991.0,4879.0,1854.0,1474.0,5.0,80.0,Petrol,Automatic,Second,Individual,RWD,3
22800.0,2019.0,71000.0,2393.0,4735.0,1830.0,1795.0,8.0,55.0,Diesel,Manual,First,Individual,RWD,2
27000.0,2014.0,85000.0,2143.0,4804.0,2141.0,1796.0,5.0,70.0,Diesel,Automatic,Second,Individual,AWD,3
19200.0,2013.0,70000.0,1995.0,4899.0,2094.0,1464.0,5.0,61.2,Diesel,Automatic,Second,Individual,RWD,3
6900.0,2015.0,48000.0,1373.0,4490.0,1730.0,1485.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,1
13380.0,2018.0,37000.0,1591.0,4270.0,1780.0,1665.0,5.0,55.0,Petrol,Manual,Second,Individual,FWD,1
27540.0,2019.0,26000.0,2755.0,4735.0,1830.0,1795.0,7.0,55.0,Diesel,Automatic,First,Individual,RWD,2
5580.0,2014.0,29442.0,1198.0,3990.0,1680.0,1505.0,5.0,35.0,Petrol,Automatic,First,Individual,FWD,1
13800.0,2014.0,99000.0,2179.0,4456.0,1820.0,1995.0,8.0,60.0,Diesel,Manual,First,Individual,RWD,1
4200.0,2011.0,21000.0,1197.0,3585.0,1595.0,1550.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
3120.0,2012.0,54000.0,998.0,3620.0,1475.0,1460.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
25200.0,2020.0,38500.0,2158.0,4314.0,1809.0,1620.0,5.0,52.2,Otro,Automatic,First,Individual,FWD,2
8580.0,2019.0,31552.0,1197.0,3995.0,1735.0,1515.0,5.0,37.0,Petrol,Automatic,First,Individual,FWD,1
14880.0,2017.0,57000.0,1956.0,4395.0,1818.0,1640.0,5.0,60.0,Diesel,Manual,First,Individual,FWD,2
9588.0,2018.0,79800.0,1582.0,4375.0,1700.0,1475.0,5.0,43.0,Diesel,Manual,First,Individual,FWD,1
8880.0,2016.0,60125.0,1591.0,4270.0,1780.0,1630.0,5.0,60.0,Petrol,Manual,First,Individual,FWD,1
2820.0,2014.0,82000.0,1399.0,3795.0,1680.0,1427.0,5.0,45.0,Diesel,Manual,Second,Individual,FWD,1
37500.0,2020.0,28600.0,1798.0,4701.0,1826.0,1427.0,5.0,63.0,Petrol,Automatic,First,Individual,FWD,3
14100.0,2021.0,37556.0,1396.0,3995.0,1770.0,1605.0,5.0,45.0,Diesel,Manual,First,Individual,FWD,1
2520.0,2012.0,85000.0,2489.0,4520.0,1850.0,1895.0,7.0,55.0,Diesel,Manual,Fourth,Individual,FWD,1
3588.0,2013.0,46000.0,998.0,3636.0,1475.0,1670.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
1980.0,2009.0,55000.0,1197.0,3565.0,1595.0,1550.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
