Price,Year,Kilometer,Engine,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Fuel Type,Transmission,Owner,Seller Type,Drivetrain,PriceRange
9588.0,2019.0,37500.0,1197.0,3995.0,1745.0,1510.0,5.0,37.0,Petrol,Manual,First,Individual,FWD,2
23400.0,2018.0,69000.0,2393.0,4735.0,1830.0,1795.0,7.0,55.0,Diesel,Manual,First,Individual,RWD,2
6900.0,2015.0,85000.0,1461.0,4331.0,1822.0,1671.0,5.0,50.0,Diesel,Manual,First,Individual,FWD,1
10739.988,2018.0,21365.0,1197.0,3995.0,1745.0,1510.0,5.0,37.0,Petrol,Automatic,First,Individual,FWD,1
18900.0,2013.0,66000.0,1968.0,4701.0,1826.0,1427.0,5.0,63.0,Diesel,Automatic,First,Individual,FWD,3
6132.0,2015.0,45969.0,1373.0,4490.0,1730.0,1485.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,1
13800.0,2017.0,66602.0,1582.0,4270.0,1780.0,1630.0,5.0,60.0,Diesel,Automatic,First,Individual,FWD,1
5700.0,2017.0,34867.0,1199.0,3746.0,1647.0,1535.0,5.0,35.0,Petrol,Automatic,Second,Individual,FWD,1
7740.0,2017.0,64000.0,1497.0,4440.0,1695.0,1495.0,5.0,40.0,Petrol,Manual,First,Individual,FWD,1
12539.988,2021.0,24000.0,1462.0,3995.0,1790.0,1640.0,5.0,48.0,Petrol,Manual,First,Individual,FWD,1
28140.0,2017.0,47000.0,2494.0,4825.0,1825.0,1480.0,5.0,70.0,Petrol,Automatic,First,Individual,FWD,2
6540.0,2017.0,61518.0,1197.0,3995.0,1745.0,1500.0,5.0,37.0,Petrol,Manual,First,Individual,FWD,1
9000.0,2018.0,16339.0,1591.0,4375.0,1700.0,1475.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,1
15588.0,2020.0,31348.0,1497.0,3995.0,1821.0,1627.0,5.0,42.0,Diesel,Manual,First,Individual,FWD,1
4500.0,2011.0,78000.0,1497.0,4420.0,1695.0,1480.0,5.0,42.0,Petrol,Manual,First,Individual,FWD,1
6588.0,2015.0,61900.0,1197.0,3985.0,1734.0,1505.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,1
16500.0,2021.0,16000.0,1655.4,3993.0,1811.0,1606.0,5.0,53.0,Otro,Automatic,First,Individual,FWD,1
35400.0,2020.0,10700.0,1984.0,4318.0,1805.0,1548.0,5.0,55.0,Petrol,Automatic,First,Individual,AWD,3
20748.0,2020.0,27000.0,1451.0,4655.0,1835.0,1760.0,5.0,60.0,Petrol,Automatic,First,Individual,FWD,2
6600.0,2017.0,61400.0,1197.0,3765.0,1660.0,1520.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,1
8100.0,2016.0,87693.0,1497.0,4440.0,1695.0,1495.0,5.0,40.0,Petrol,Manual,First,Individual,FWD,1
33300.0,2018.0,68189.0,1995.0,4633.0,1811.0,1429.0,5.0,57.0,Diesel,Automatic,First,Individual,RWD,3
3540.0,2011.0,87230.0,1248.0,3760.0,1690.0,1530.0,5.0,43.0,Diesel,Manual,First,Individual,FWD,1
10428.0,2021.0,8700.0,1199.0,3995.0,1695.0,1501.0,5.0,35.0,Petrol,Automatic,First,Individual,FWD,1
21000.0,2015.0,72000.0,2982.0,4705.0,1840.0,1850.0,7.0,80.0,Diesel,Automatic,Second,Individual,AWD,2
14340.0,2010.0,74000.0,2497.0,4841.0,1846.0,1468.0,5.0,70.0,Diesel,Automatic,Second,Individual,FWD,3
32100.0,2016.0,28000.0,1991.0,4686.0,1810.0,1442.0,5.0,66.0,Petrol,Automatic,First,Individual,RWD,3
8940.0,2021.0,14722.0,1197.0,3845.0,1735.0,1530.0,5.0,37.0,Petrol,Manual,First,Individual,FWD,1
6000.0,2017.0,140000.0,1248.0,3850.0,1695.0,1530.0,5.0,42.0,Diesel,Manual,First,Individual,FWD,1
16800.0,2013.0,121000.0,1995.0,4899.0,2094.0,1464.0,5.0,72.8,Diesel,Automatic,First,Individual,RWD,3
4620.0,2013.0,72567.0,1498.0,3990.0,1680.0,1505.0,5.0,35.0,Diesel,Manual,First,Individual,FWD,1
20400.0,2022.0,8530.0,1498.0,4549.0,1748.0,1489.0,5.0,40.0,Petrol,Automatic,UnRegistered Car,Individual,FWD,1
38340.0,2021.0,21651.0,1798.0,4861.0,1864.0,1483.0,5.0,66.0,Petrol,Automatic,First,Individual,FWD,2
29400.0,2014.0,65000.0,2997.0,4804.0,2141.0,1796.0,5.0,70.0,Diesel,Automatic,Second,Individual,AWD,3
23940.0,2018.0,35123.0,2393.0,4735.0,1830.0,1795.0,8.0,55.0,Diesel,Manual,First,Individual,RWD,2
20987.988,2022.0,2670.0,1497.0,4300.0,1790.0,1635.0,5.0,50.0,Petrol,Automatic,First,Individual,FWD,1
5340.0,2012.0,54948.0,1248.0,3715.0,1680.0,1620.0,5.0,43.0,Diesel,Manual,First,Individual,FWD,1
5400.0,2016.0,53300.0,1197.0,3765.0,1660.0,1520.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,1
8220.0,2018.0,92000.0,1248.0,3995.0,1735.0,1515.0,5.0,37.0,Diesel,Automatic,First,Individual,FWD,1
4320.0,2015.0,16205.0,998.0,3515.0,1550.0,1510.0,5.0,32.0,Petrol,Manual,First,Individual,FWD,1
35880.0,2020.0,17904.0,1968.0,4486.0,1839.0,1672.0,5.0,71.0,Diesel,Automatic,First,Individual,AWD,1
3360.0,2011.0,54000.0,998.0,3539.0,1475.0,1700.0,5.0,35.0,Otro,Manual,First,Individual,FWD,1
1920.0,2011.0,72000.0,998.0,3545.0,1490.0,1475.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
4200.0,2012.0,89445.0,1248.0,3715.0,1680.0,1620.0,5.0,43.0,Diesel,Manual,First,Individual,FWD,1
8520.0,2018.0,72000.0,1598.0,4300.0,1765.0,1590.0,5.0,48.0,Diesel,Manual,First,Individual,FWD,1
25788.0,2015.0,69000.0,1995.0,4936.0,1868.0,1479.0,5.0,65.0,Diesel,Automatic,First,Individual,RWD,3
42000.0,2021.0,7900.0,1996.0,4985.0,1926.0,1867.0,6.0,75.0,Diesel,Automatic,First,Individual,AWD,2
22200.0,2015.0,71700.0,1968.0,4385.0,1831.0,1608.0,5.0,64.0,Diesel,Automatic,Second,Individual,AWD,3
6612.0,2021.0,19000.0,1086.0,3610.0,1645.0,1560.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
6420.0,2020.0,41441.0,1196.0,3675.0,1475.0,1800.0,5.0,40.0,Petrol,Manual,First,Individual,RWD,1
4680.0,2013.0,62000.0,1461.0,4618.0,1813.0,1488.0,5.0,67.0,Diesel,Manual,First,Individual,FWD,1
4800.0,2014.0,64000.0,1248.0,3995.0,1695.0,1555.0,5.0,42.0,Diesel,Manual,First,Individual,FWD,1
5340.0,2018.0,71000.0,998.0,3600.0,1600.0,1560.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
5100.0,2015.0,48000.0,1197.0,3765.0,1660.0,1520.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,1
6780.0,2014.0,68000.0,1582.0,4370.0,1700.0,1475.0,5.0,43.0,Diesel,Manual,First,Individual,FWD,1
15300.0,2021.0,18000.0,1509.0,3993.0,1677.0,1532.0,5.0,46.6,Otro,Automatic,First,Individual,FWD,1
8340.0,2018.0,55000.0,1248.0,3995.0,1735.0,1515.0,5.0,37.0,Diesel,Automatic,First,Individual,FWD,1
9540.0,2019.0,22224.0,1199.0,3995.0,1695.0,1501.0,5.0,35.0,Petrol,Automatic,First,Individual,FWD,1
11400.0,2020.0,57400.0,1497.0,3995.0,1821.0,1627.0,5.0,42.0,Diesel,Manual,First,Individual,FWD,1
35400.0,2021.0,38000.0,1956.0,4405.0,1818.0,1640.0,5.0,60.0,Diesel,Automatic,First,Individual,AWD,2
8340.0,2018.0,68818.0,1197.0,3995.0,1735.0,1515.0,5.0,37.0,Petrol,Automatic,First,Individual,FWD,1
31176.0,2022.0,12050.0,2694.0,4735.0,1830.0,1795.0,7.0,65.0,Petrol,Automatic,First,Individual,RWD,2
7200.0,2016.0,99000.0,1461.0,4331.0,1822.0,1671.0,5.0,50.0,Diesel,Manual,First,Individual,FWD,1
12420.0,2018.0,36000.0,1582.0,4270.0,1780.0,1630.0,5.0,60.0,Diesel,Manual,First,Individual,FWD,1
15300.0,2012.0,101000.0,2143.0,4868.0,1854.0,1470.0,5.0,80.0,Diesel,Automatic,Second,Individual,RWD,3
47940.0,2016.0,39000.0,2993.0,4886.0,1938.0,1762.0,7.0,72.2,Diesel,Automatic,First,Individual,AWD,3
28740.0,2019.0,44876.0,1995.0,4475.0,1850.0,1660.0,5.0,62.0,Diesel,Automatic,First,Individual,FWD,1
27600.0,2013.0,110000.0,2179.0,4355.0,2120.0,1635.0,5.0,57.0,Diesel,Automatic,Second,Individual,AWD,4
4380.0,2009.0,90000.0,2179.0,4430.0,1817.0,1975.0,8.0,60.0,Diesel,Manual,Second,Individual,RWD,1
9000.0,2010.0,112000.0,1995.0,4841.0,1846.0,1468.0,5.0,70.0,Diesel,Automatic,Second,Individual,RWD,3
5700.0,2019.0,25000.0,998.0,3695.0,1600.0,1560.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
23700.0,2018.0,75000.0,2755.0,4735.0,1830.0,1795.0,7.0,55.0,Diesel,Automatic,First,Individual,RWD,2
11100.0,2019.0,60888.0,1497.0,3995.0,1821.0,1627.0,5.0,42.0,Diesel,Manual,First,Individual,FWD,1
8340.0,2017.0,51292.0,1497.0,4440.0,1695.0,1495.0,5.0,40.0,Petrol,Manual,First,Individual,FWD,1
8340.0,2019.0,42678.0,1197.0,3985.0,1734.0,1505.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,1
39600.0,2018.0,17000.0,1496.0,3821.0,1727.0,1414.0,5.0,44.0,Diesel,Automatic,First,Individual,FWD,4
10080.0,2020.0,7000.0,1197.0,3995.0,1745.0,1500.0,5.0,37.0,Petrol,Automatic,First,Individual,FWD,1
10320.0,2021.0,11030.0,1197.0,3995.0,1745.0,1510.0,5.0,37.0,Petrol,Manual,First,Individual,FWD,2
21000.0,2014.0,101000.0,2982.0,4705.0,1840.0,1850.0,7.0,80.0,Diesel,Automatic,First,Individual,RWD,2
27588.0,2014.0,58000.0,1995.0,4899.0,2094.0,1464.0,5.0,66.0,Diesel,Automatic,First,Individual,RWD,3
25800.0,2016.0,95401.0,1968.0,4385.0,1831.0,1608.0,5.0,64.0,Diesel,Automatic,First,Individual,AWD,3
26280.0,2017.0,30000.0,2393.0,4735.0,1830.0,1795.0,7.0,55.0,Diesel,Manual,First,Individual,RWD,2
39000.0,2019.0,41000.0,1968.0,4385.0,1831.0,1608.0,5.0,64.0,Diesel,Automatic,Second,Individual,AWD,3
31200.0,2016.0,39000.0,1995.0,4899.0,2094.0,1464.0,5.0,65.0,Diesel,Automatic,First,Individual,RWD,3
7500.0,2022.0,7000.0,1196.0,3675.0,1475.0,1825.0,7.0,40.0,Petrol,Manual,First,Individual,RWD,1
4800.0,2018.0,91460.0,1199.0,3746.0,1647.0,1535.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
1740.0,2009.0,88000.0,1399.0,4145.0,1632.0,1440.0,5.0,43.0,Diesel,Manual,First,Individual,FWD,1
23400.0,2014.0,82000.0,1995.0,4648.0,1881.0,1661.0,5.0,67.0,Diesel,Automatic,Second,Individual,AWD,3
10500.0,2018.0,23148.0,1496.0,4425.0,1730.0,1495.0,5.0,42.0,Petrol,Automatic,First,Individual,FWD,2
28200.0,2016.0,75000.0,2198.0,4892.0,1860.0,1837.0,7.0,80.0,Diesel,Automatic,Second,Individual,RWD,1
4980.0,2014.0,70000.0,1461.0,4315.0,1822.0,1695.0,5.0,50.0,Diesel,Manual,First,Individual,FWD,1
19500.0,2021.0,7900.0,999.0,4225.0,1760.0,1612.0,5.0,50.0,Petrol,Automatic,First,Individual,FWD,2
7200.0,2018.0,54000.0,1197.0,3850.0,1695.0,1530.0,5.0,42.0,Petrol,Manual,First,Individual,FWD,1
8100.0,2019.0,74237.0,1199.0,3995.0,1695.0,1501.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
6000.0,2016.0,114000.0,1364.0,3775.0,1695.0,1510.0,5.0,45.0,Diesel,Manual,First,Individual,FWD,2
21000.0,2021.0,33000.0,1451.0,4655.0,1835.0,1760.0,5.0,60.0,Petrol,Automatic,First,Individual,FWD,2
1692.0,2009.0,56400.0,1086.0,3565.0,1525.0,1590.0,5.0,35.0,Petrol,Manual,Third,Individual,FWD,1
6300.0,2015.0,68244.0,1498.0,3955.0,1694.0,1544.0,5.0,40.0,Diesel,Manual,Second,Individual,FWD,1
8280.0,2016.0,38000.0,1498.0,4440.0,1695.0,1495.0,5.0,40.0,Diesel,Manual,First,Individual,FWD,1
23400.0,2020.0,28584.0,1451.0,4720.0,1835.0,1760.0,6.0,60.0,Petrol,Automatic,First,Individual,FWD,2
3960.0,2017.0,63200.0,998.0,3545.0,1490.0,1475.0,4.0,60.0,Otro,Manual,First,Individual,FWD,1
4919.988,2014.0,55000.0,1197.0,3765.0,1660.0,1520.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,1
15120.0,2018.0,33500.0,1591.0,4270.0,1780.0,1630.0,5.0,60.0,Petrol,Automatic,First,Individual,FWD,1
37200.0,2019.0,24000.0,1991.0,4424.0,1804.0,1494.0,5.0,50.0,Petrol,Automatic,First,Individual,FWD,3
3540.0,2015.0,31000.0,998.0,3545.0,1490.0,1475.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
21600.0,2021.0,14500.0,2184.0,3985.0,1820.0,1844.0,4.0,57.0,Diesel,Manual,First,Individual,AWD,1
38400.0,2014.0,60513.0,2997.0,4804.0,2141.0,1796.0,5.0,70.0,Diesel,Automatic,First,Corporate,AWD,3
5100.0,2013.0,79500.0,1498.0,3990.0,1680.0,1505.0,5.0,35.0,Diesel,Manual,First,Individual,FWD,1
6660.0,2018.0,20000.0,1199.0,3746.0,1647.0,1535.0,5.0,35.0,Petrol,Automatic,First,Individual,FWD,1
13500.0,2019.0,50000.0,1591.0,4370.0,1700.0,1475.0,5.0,43.0,Petrol,Automatic,First,Individual,FWD,1
11700.0,2013.0,102000.0,2143.0,4596.0,1770.0,1447.0,5.0,66.0,Diesel,Automatic,First,Individual,RWD,3
16200.0,2019.0,79000.0,1493.0,4315.0,1800.0,1645.0,5.0,50.0,Diesel,Manual,Second,Individual,FWD,2
36300.0,2019.0,59000.0,1995.0,4454.0,2044.0,1545.0,5.0,63.0,Diesel,Automatic,First,Individual,RWD,3
4919.988,2014.0,55000.0,1197.0,3850.0,1695.0,1530.0,5.0,42.0,Petrol,Manual,First,Individual,FWD,1
25140.0,2021.0,23000.0,1956.0,4598.0,1894.0,1706.0,5.0,50.0,Diesel,Manual,First,Individual,FWD,1
8700.0,2016.0,53000.0,1373.0,4296.0,1695.0,1685.0,7.0,45.0,Petrol,Manual,First,Individual,FWD,1
32280.0,2016.0,57000.0,1968.0,4629.0,1898.0,1653.0,5.0,75.0,Diesel,Automatic,First,Individual,AWD,3
9900.0,2009.0,63300.0,2967.0,4628.0,1879.0,1651.0,5.0,75.0,Diesel,Automatic,First,Individual,FWD,3
3300.0,2009.0,80000.0,1497.0,4420.0,1695.0,1480.0,5.0,42.0,Petrol,Manual,First,Individual,FWD,1
3059.9880000000003,2012.0,17000.0,1086.0,3565.0,1525.0,1590.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
5219.988,2019.0,32000.0,799.0,3679.0,1579.0,1478.0,5.0,28.0,Petrol,Manual,First,Individual,FWD,1
4560.0,2018.0,68320.0,998.0,3599.0,1495.0,1700.0,5.0,35.0,Otro,Manual,First,Individual,FWD,1
8700.0,2018.0,65000.0,1497.0,3994.0,1811.0,1607.0,5.0,44.0,Diesel,Manual,Second,Individual,FWD,1
20700.0,2019.0,23952.0,1956.0,4655.0,1835.0,1760.0,5.0,60.0,Diesel,Manual,First,Individual,FWD,2
3600.0,2014.0,40000.0,1197.0,3995.0,1710.0,1505.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,1
6000.0,2015.0,90000.0,1248.0,3995.0,1695.0,1555.0,5.0,42.0,Diesel,Manual,First,Individual,FWD,1
7140.0,2015.0,45000.0,1197.0,3995.0,1760.0,1555.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,1
7800.0,2016.0,100000.0,1197.0,3985.0,1734.0,1505.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,1
20700.0,2020.0,35000.0,1493.0,4300.0,1790.0,1635.0,5.0,50.0,Diesel,Manual,First,Individual,FWD,1
5100.0,2014.0,75000.0,1498.0,3990.0,1680.0,1505.0,5.0,35.0,Diesel,Manual,First,Individual,FWD,1
7200.0,2016.0,92000.0,1493.0,3995.0,1835.0,1839.0,7.0,60.0,Diesel,Manual,Second,Individual,RWD,1
6240.0,2015.0,42000.0,1198.0,3955.0,1694.0,1544.0,5.0,40.0,Petrol,Automatic,First,Individual,FWD,1
22679.988,2021.0,17000.0,1451.0,4655.0,1835.0,1760.0,5.0,60.0,Petrol,Automatic,First,Individual,FWD,2
23400.0,2016.0,79000.0,2400.0,4644.0,1891.0,1713.0,5.0,70.0,Diesel,Automatic,First,Individual,AWD,2
20520.0,2021.0,4400.0,1997.0,3985.0,1820.0,1844.0,4.0,57.0,Petrol,Automatic,First,Individual,AWD,1
4500.0,2014.0,35000.0,998.0,3600.0,1600.0,1560.0,5.0,35.0,Petrol,Automatic,First,Individual,FWD,1
17940.0,2011.0,72100.0,2987.0,5226.0,2120.0,1479.0,5.0,90.0,Diesel,Automatic,Second,Individual,RWD,3
3900.0,2012.0,118000.0,1586.0,4490.0,1735.0,1560.0,5.0,50.0,Petrol,Manual,First,Individual,FWD,1
12600.0,2017.0,88757.0,2179.0,4788.0,1903.0,1791.0,6.0,60.0,Diesel,Manual,Second,Individual,RWD,1
7920.0,2017.0,40000.0,1197.0,3995.0,1745.0,1500.0,5.0,37.0,Petrol,Automatic,First,Individual,FWD,1
13920.0,2015.0,47981.0,1968.0,4659.0,1814.0,1476.0,5.0,50.0,Diesel,Automatic,First,Individual,FWD,2
3660.0,2018.0,34800.0,799.0,3679.0,1579.0,1478.0,5.0,28.0,Petrol,Manual,First,Individual,FWD,1
6000.0,2012.0,86288.0,1598.0,4386.0,1699.0,1466.0,5.0,55.0,Diesel,Manual,First,Individual,FWD,2
8940.0,2018.0,54000.0,1497.0,4453.0,1735.0,1666.0,7.0,42.0,Petrol,Automatic,First,Individual,FWD,1
7800.0,2015.0,49776.0,1493.0,3995.0,1835.0,1839.0,7.0,60.0,Diesel,Automatic,First,Individual,RWD,1
10788.0,2015.0,125000.0,2494.0,4585.0,1765.0,1760.0,8.0,55.0,Diesel,Manual,Third,Individual,RWD,2
3120.0,2011.0,90000.0,1248.0,3995.0,1695.0,1555.0,5.0,42.0,Diesel,Manual,Second,Individual,FWD,1
9060.0,2017.0,75650.0,1498.0,3999.0,1734.0,1601.0,5.0,40.0,Diesel,Manual,First,Individual,FWD,1
3900.0,2014.0,58000.0,998.0,3599.0,1495.0,1700.0,5.0,35.0,Otro,Manual,Second,Individual,FWD,1
7500.0,2021.0,18000.0,998.0,3599.0,1495.0,1700.0,5.0,35.0,Otro,Manual,First,Individual,FWD,1
22500.0,2022.0,15000.0,2184.0,3985.0,1820.0,1844.0,4.0,57.0,Diesel,Automatic,First,Individual,AWD,1
6840.0,2016.0,80000.0,1498.0,3999.0,1765.0,1708.0,5.0,52.0,Diesel,Manual,First,Individual,FWD,1
3000.0,2018.0,25000.0,999.0,3429.0,1560.0,1541.0,5.0,28.0,Petrol,Manual,Second,Individual,FWD,0
15600.0,2013.0,50300.0,1995.0,4097.0,1789.0,1561.0,5.0,47.0,Diesel,Automatic,Second,Individual,FWD,4
9240.0,2019.0,27500.0,1493.0,3995.0,1745.0,1880.0,7.0,43.2,Diesel,Manual,First,Individual,RWD,1
8820.0,2015.0,121000.0,2179.0,4585.0,1890.0,1785.0,7.0,70.0,Diesel,Manual,First,Individual,AWD,1
12000.0,2010.0,127000.0,2982.0,4695.0,1840.0,1850.0,7.0,80.0,Diesel,Manual,Third,Individual,AWD,2
4140.0,2016.0,71000.0,1120.0,3765.0,1660.0,1520.0,5.0,43.0,Diesel,Manual,Second,Individual,FWD,1
11100.0,2021.0,48000.0,1462.0,3995.0,1790.0,1640.0,5.0,48.0,Petrol,Manual,First,Individual,FWD,1
10200.0,2016.0,90300.0,2179.0,4585.0,1890.0,1785.0,7.0,70.0,Diesel,Manual,First,Individual,FWD,1
2880.0,2013.0,73000.0,1196.0,3795.0,1680.0,1427.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,1
