checking_account_status,loan_duration_mo,credit_history,purpose,loan_amount,savings_account_balance,time_employed_yrs,payment_pcnt_income,gender_status,other_signators,time_in_residence,property,age_yrs,other_credit_outstanding,home_ownership,number_loans,job_category,dependents,telephone,foreign_worker,bad_credit
< 0 DM,12,critical account - other non-bank loans,car,3499,< 100 DM,1 - 4 years,3,female-divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled,1,none,yes,1
< 0 DM,12,current loans paid,car,1168,< 100 DM,1 - 4 years,4,male-married/widowed,none,3,real estate,27,none,own,1,unskilled-resident,1,none,yes,0
0 - 200 DM,24,past payment delays,furniture/equipment,2333,unknown/none,< 1 year,4,male-single,none,2,building society savings/life insurance,29,bank,own,1,unskilled-resident,1,none,yes,0
none,9,current loans paid,furniture/equipment,1388,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,2,real estate,26,none,rent,1,skilled,1,none,yes,0
none,27,past payment delays,car,8613,>= 1000 DM,1 - 4 years,2,male-single,none,2,car or other,27,none,own,2,skilled,1,none,yes,0
< 0 DM,8,critical account - other non-bank loans,car,3398,< 100 DM,4 - 7 years,1,male-single,none,4,real estate,39,none,own,2,unskilled-resident,1,none,no,0
< 0 DM,6,current loans paid,repairs,343,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,real estate,27,none,own,1,skilled,1,none,yes,0
< 0 DM,24,all loans at bank paid,furniture/equipment,6872,< 100 DM,< 1 year,2,male-divorced/separated,none,1,building society savings/life insurance,55,bank,own,1,skilled,1,yes,yes,1
none,39,current loans paid,car,2569,500 - 1000 DM,1 - 4 years,4,male-single,none,4,car or other,24,none,own,1,skilled,1,none,yes,0
none,6,current loans paid,radio/television,2108,< 100 DM,4 - 7 years,2,male-married/widowed,none,2,real estate,29,none,rent,1,skilled,1,none,yes,0
0 - 200 DM,12,critical account - other non-bank loans,repairs,1424,< 100 DM,4 - 7 years,4,male-single,none,3,building society savings/life insurance,26,none,own,1,skilled,1,none,yes,0
< 0 DM,48,all loans at bank paid,business,7685,< 100 DM,4 - 7 years,2,female-divorced/separated/married,guarantor,4,car or other,37,none,rent,1,skilled,1,none,yes,1
0 - 200 DM,24,past payment delays,business,6967,100 - 500 DM,4 - 7 years,4,male-single,none,4,car or other,36,none,rent,1,highly skilled,1,yes,yes,0
none,18,critical account - other non-bank loans,car,1028,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,3,real estate,36,none,own,2,skilled,1,none,yes,0
none,15,critical account - other non-bank loans,car,5045,unknown/none,>= 7 years,1,female-divorced/separated/married,none,4,car or other,59,none,own,1,skilled,1,yes,yes,0
